timestamp_ms,timestamp,open,high,low,close,volume,quote_asset_volume,last_trade_id,sample_count,open_raw,high_raw,low_raw,close_raw
1779698100000,2026-05-25 08:35:00,2113.11,2114.99,2112.89,2113.48,454.7491,961393.44098,20736354741,0,0.0,0.0,0.0,0.0
1779698400000,2026-05-25 08:40:00,2113.48,2114.84,2112.47,2114.04,197.6625,417833.637491,20736530149,0,0.0,0.0,0.0,0.0
1779698700000,2026-05-25 08:45:00,2114.04,2114.83,2112.68,2114.56,148.3936,313675.048495,20736708191,0,0.0,0.0,0.0,0.0
1779699000000,2026-05-25 08:50:00,2114.56,2116.74,2114.03,2115.57,149.2142,315639.42065,20736913009,0,0.0,0.0,0.0,0.0
1779699300000,2026-05-25 08:55:00,2115.57,2116.98,2115.35,2115.54,144.95139999999998,306703.017323,20737084023,0,0.0,0.0,0.0,0.0
1779699600000,2026-05-25 09:00:00,2115.54,2117.69,2114.91,2115.98,325.2477,688491.988911,20737296250,0,0.0,0.0,0.0,0.0
1779699900000,2026-05-25 09:05:00,2115.98,2118.83,2115.42,2117.95,331.66360000000003,702338.0399430001,20737472985,0,0.0,0.0,0.0,0.0
1779700200000,2026-05-25 09:10:00,2117.95,2121.02,2116.63,2117.55,546.4508,1157945.74169,20737692854,0,0.0,0.0,0.0,0.0
1779700500000,2026-05-25 09:15:00,2117.55,2118.12,2116.66,2117.56,135.3288,286553.568542,20737859687,0,0.0,0.0,0.0,0.0
1779700800000,2026-05-25 09:20:00,2117.56,2118.46,2116.33,2118.02,150.6394,318940.890016,20738039977,0,0.0,0.0,0.0,0.0
1779701100000,2026-05-25 09:25:00,2118.02,2119.03,2117.31,2118.71,175.7156,372237.147428,20738205549,0,0.0,0.0,0.0,0.0
1779701400000,2026-05-25 09:30:00,2118.71,2123.43,2117.55,2120.19,741.8521,1572889.076585,20738476821,0,0.0,0.0,0.0,0.0
1779701700000,2026-05-25 09:35:00,2120.19,2120.57,2117.34,2118.18,456.1555,966410.361508,20738699461,0,0.0,0.0,0.0,0.0
1779702000000,2026-05-25 09:40:00,2118.18,2118.4,2117.04,2117.64,271.04019999999997,573959.986146,20738865483,0,0.0,0.0,0.0,0.0
1779702300000,2026-05-25 09:45:00,2117.64,2118.09,2116.32,2117.85,188.1972,398477.371741,20739056412,0,0.0,0.0,0.0,0.0
1779702600000,2026-05-25 09:50:00,2117.85,2120.22,2117.18,2117.44,567.3998,1202107.6955880001,20739247991,0,0.0,0.0,0.0,0.0
1779702900000,2026-05-25 09:55:00,2117.44,2117.52,2115.82,2115.87,400.26800000000003,847321.431845,20739421274,0,0.0,0.0,0.0,0.0
1779703200000,2026-05-25 10:00:00,2115.87,2116.93,2114.71,2115.0,404.1142,855061.185059,20739601722,0,0.0,0.0,0.0,0.0
1779703500000,2026-05-25 10:05:00,2115.0,2118.1,2114.81,2117.58,282.5161,598157.361161,20739779432,0,0.0,0.0,0.0,0.0
1779703800000,2026-05-25 10:10:00,2117.58,2118.46,2117.27,2118.11,228.958,484949.02140699996,20739958241,0,0.0,0.0,0.0,0.0
1779704100000,2026-05-25 10:15:00,2118.11,2120.5,2118.02,2118.68,187.5779,397548.91566,20740166929,0,0.0,0.0,0.0,0.0
1779704400000,2026-05-25 10:20:00,2118.68,2118.85,2115.15,2116.77,126.8112,268417.051277,20740383151,0,0.0,0.0,0.0,0.0
1779704700000,2026-05-25 10:25:00,2116.77,2117.0,2114.5,2116.58,944.6615,1999415.571612,20740559382,0,0.0,0.0,0.0,0.0
1779705000000,2026-05-25 10:30:00,2116.58,2116.71,2115.02,2116.03,613.2669000000001,1297588.836187,20740725980,0,0.0,0.0,0.0,0.0
1779705300000,2026-05-25 10:35:00,2116.03,2117.42,2115.53,2115.69,100.7236,213191.311965,20740889757,0,0.0,0.0,0.0,0.0
